,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONAL HEALTH EXPENDITURES BY TYPE OF SERVICE AND SOURCE OF FUNDS:  CALENDAR YEARS 1960 to 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
         SAMHSA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other State and Local Programs**,6,8,8,9,13,16,7,1,2,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         School Health, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   ,43,138,201,168,162,179,183,228,295,364,390,424,392,440,503,581,485,501,456,511,555,592,618,640,758,961,"1,213","1,709","1,781","1,861","1,946","2,064","2,255","2,365","2,631","3,404","4,003","4,209","4,397","4,697","4,867","5,385","6,393","7,826","8,668","8,704","8,923","9,478"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Other Professional Services Expenditures,392,409,429,451,486,533,572,608,644,678,726,793,893,"1,022","1,163","1,337","1,564","2,058","2,403","2,847","3,478","4,276","4,924","5,663","7,350","8,143","9,326","11,389","13,805","14,597","17,408","18,713","21,048","23,181","24,227","26,973","29,206","31,677","33,791","34,994","37,015","40,612","43,671","46,729","50,267","52,671","54,961","59,492","63,988","66,788","69,842","73,107","76,755","80,247"
     Out of pocket,341,343,351,361,383,395,389,375,364,348,324,287,310,393,440,643,743,"1,021","1,200","1,394","1,699","2,019","2,248","2,478","3,196","3,317","3,618","4,304","5,174","5,250","6,202","6,370","6,969","7,421","7,427","7,956","8,269","9,313","10,051","10,771","11,279","11,946","12,549","13,191","13,899","14,121","14,713","16,097","17,209","17,451","18,275","18,900","19,771","20,592"
     Health Insurance,8,12,16,20,25,30,49,75,84,86,100,128,161,223,286,418,513,690,801,972,"1,207","1,560","1,866","2,246","2,996","3,403","4,035","5,094","6,311","6,783","8,412","9,292","10,686","12,144","13,033","15,013","16,718","17,874","19,236","19,735","21,281","24,074","26,323","28,830","31,363","33,374","34,913","37,606","40,645","43,158","45,124","47,563","50,072","52,616"
          Private Health Insurance,8,12,16,20,25,30,34,37,40,42,43,49,65,99,130,219,288,445,550,672,859,"1,134","1,394","1,686","2,375","2,682","3,169","4,072","5,156","5,505","6,834","7,367","8,452","9,428","9,875","11,060","12,011","12,728","12,907","13,540","14,254","15,650","17,014","18,519","19,706","20,086","20,848","22,795","24,209","24,571","25,610","26,947","28,245","29,306"
          Medicare, -   , -   , -   , -   , -   , -   ,3,10,13,15,18,22,27,34,47,63,74,87,106,131,167,201,259,332,383,465,568,680,794,913,"1,132","1,376","1,639","1,882","2,299","2,937","3,500","3,835","5,004","4,727","5,406","6,461","6,743","7,468","8,287","9,448","10,211","10,957","12,382","13,765","14,537","15,674","16,896","18,045"
          Medicaid (Title XIX), -   , -   , -   , -   , -   , -   ,11,28,31,29,40,56,69,90,108,136,150,158,144,169,181,225,214,228,238,256,298,342,362,366,445,549,594,834,859,"1,016","1,207","1,311","1,319","1,425","1,565","1,889","2,446","2,730","3,264","3,719","3,682","3,701","3,891","4,647","4,809","4,737","4,702","5,011"
                          Federal  , -   , -   , -   , -   , -   , -   ,6,14,16,16,21,32,37,47,61,75,86,89,80,95,98,121,115,123,128,138,162,187,202,204,249,304,344,502,499,579,693,748,758,822,899,"1,083","1,404","1,657","1,942","2,164","2,131","2,140","2,370","3,153","3,314","2,926","2,690","2,867"
                          State and Local, -   , -   , -   , -   , -   , -   ,6,15,15,13,18,24,31,43,47,61,65,68,64,75,84,104,99,105,109,118,136,154,160,162,197,245,250,332,361,437,515,563,561,603,667,806,"1,043","1,073","1,323","1,556","1,551","1,561","1,521","1,494","1,495","1,811","2,012","2,144"
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,6,42,55,74,120,113,106,121,173,153,163,175,168,205,228,254
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,4,29,40,52,83,78,74,84,118,107,115,123,119,144,160,175
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2,13,15,22,37,34,32,37,55,47,49,52,49,61,69,79
         Department of Defense, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Department of Veterans Affairs, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
     Other Third Party Payers and Programs,43,54,62,70,78,108,134,157,195,243,301,378,422,406,437,276,308,347,402,480,572,697,811,940,"1,158","1,423","1,672","1,991","2,319","2,564","2,794","3,051","3,394","3,615","3,767","4,004","4,218","4,491","4,503","4,488","4,455","4,592","4,799","4,709","5,005","5,176","5,336","5,789","6,133","6,179","6,444","6,643","6,912","7,039"
         Worksite Health Care, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other Private Revenues,11,12,13,14,16,19,22,23,26,30,34,38,45,54,64,77,93,117,158,214,275,371,448,536,676,862,"1,025","1,214","1,402","1,578","1,685","1,850","2,054","2,220","2,411","2,619","2,805","2,994","2,942","2,826","2,724","2,729","2,892","2,733","2,996","3,162","3,327","3,661","3,868","4,003","4,253","4,421","4,682","4,792"
         Indian Health Services , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Workers' Compensation,13,14,15,16,17,18,20,23,25,29,32,35,38,46,54,62,73,86,99,117,134,152,177,202,246,284,330,397,482,557,655,713,790,822,769,779,799,846,912,978,"1,022","1,135","1,189","1,260","1,276","1,283","1,266","1,323","1,454","1,417","1,456","1,533","1,537","1,578"
         General Assistance, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1,1,2,2,3,3,4,4,5,6,7,7,7,10,14,21,26,41,45,39,42,48,51,59,54,46,41,36,54,49,57,56,58,79,82,92,109,89,77,66,44,40,73
         Maternal/Child Health,16,26,29,33,38,46,60,77,92,102,102,116,126,120,127,134,137,138,139,143,156,165,177,193,224,262,293,351,391,381,412,443,498,519,525,547,564,604,609,627,657,666,656,651,647,642,643,689,715,674,660,601,550,510
                          Federal  ,4,7,8,9,11,16,27,39,50,53,46,59,70,63,70,77,79,79,80,79,79,81,84,94,94,110,112,133,149,149,157,166,188,193,194,197,197,201,201,203,203,208,212,210,211,205,196,201,203,201,201,200,193,186
                          State and Local,12,19,21,25,28,30,33,37,43,49,56,57,56,57,57,57,58,59,59,64,77,83,93,99,130,152,182,218,242,232,255,276,311,325,331,350,368,403,408,424,454,458,445,442,436,438,447,488,512,473,459,401,358,324
         Vocational Rehabilitation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other Federal Programs*,1,1,3,4,3,19,28,33,50,82,133,187,210,184,190, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1,36,94,78
         SAMHSA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other State and Local Programs**,2,2,3,3,4,5,3,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,3,3,3,3,3,4,3,3,4,4,5,4,4,4,5,6,6,7,7,7,7,8,8,8,8,9,9
         School Health, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   ,14,38,44,44,58,78,96,124,155,199,224,245,250,300,348,426,473,560,621,721,866,"1,022","1,156","1,279","1,577","1,925","2,233","2,716","3,158","3,953","4,707","5,146","6,329","6,194","7,026","8,424","9,309","10,311","11,657","13,288","14,066","14,811","16,436","18,587","19,514","20,616","21,826","23,310"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Home Health Care Expenditures,57,61,65,69,75,89,108,164,238,272,220,194,220,276,423,623,896,"1,147","1,556","1,899","2,378","2,938","3,482","4,237","5,129","5,647","6,388","6,660","8,426","10,238","12,567","15,172","18,730","22,800","27,375","32,358","35,822","36,977","34,175","32,871","32,425","34,420","36,628","39,798","43,809","48,710","52,591","57,772","62,291","67,249","71,153","73,816","77,126","79,772"
     Out of pocket,7,8,8,8,9,11,13,14,21,24,21,19,23,29,47,79,119,152,229,283,363,437,513,625,769,890,"1,101","1,148","1,648","1,962","2,247","2,550","3,018","3,651","4,162","5,184","5,994","6,373","7,124","6,932","6,355","6,478","6,135","5,890","5,865","6,256","5,915","5,510","5,550","5,144","5,320","5,697","6,114","6,428"
     Health Insurance,3,3,3,4,4,4,15,57,80,94,83,82,96,120,197,330,498,643,824,"1,043","1,277","1,700","2,125","2,642","3,229","3,552","3,941","4,208","5,170","6,455","8,313","10,458","13,334","16,550","20,392","24,079","26,558","27,358","23,882","22,572","23,155","25,050","27,737","31,236","35,261","39,714","44,165","49,791","54,395","59,941","63,691","65,917","68,583","70,933"
          Private Health Insurance,1,2,2,2,2,2,2,3,5,7,7,7,9,14,25,48,83,121,190,255,349,445,549,695,884,"1,051","1,332","1,414","2,063","2,486","2,875","3,287","3,910","4,746","5,418","6,749","7,792","8,261","8,814","8,374","7,728","6,747","6,476","6,309","5,928","6,139","5,634","5,142","4,922","4,709","4,844","5,018","5,696","6,336"
          Medicare, -   , -   , -   , -   , -   , -   ,9,48,67,75,59,52,61,79,128,189,272,352,434,538,638,830,"1,074","1,316","1,554","1,597","1,570","1,558","1,725","2,188","3,263","4,641","6,446","8,305","11,084","12,964","14,025","13,850","9,422","8,191","8,546","9,900","11,338","13,235","15,536","18,208","21,060","24,264","27,052","30,306","31,704","32,214","33,603","34,381"
          Medicaid (Title XIX), -   , -   , -   , -   , -   , -   ,2,3,5,9,15,20,22,22,38,86,134,162,191,240,277,412,488,615,774,886,"1,019","1,213","1,358","1,754","2,144","2,495","2,939","3,456","3,841","4,313","4,676","5,170","5,558","5,906","6,771","8,283","9,791","11,521","13,617","15,108","17,196","20,022","21,957","24,311","26,304","27,739","28,270","29,103"
                          Federal  , -   , -   , -   , -   , -   , -   ,1,2,3,5,7,11,12,12,21,48,79,92,106,134,148,220,259,327,407,465,542,646,735,940,"1,147","1,310","1,585","1,889","2,051","2,302","2,534","2,777","3,000","3,196","3,657","4,486","5,295","6,474","7,538","8,161","9,290","10,832","12,439","15,813","17,315","16,248","15,457","16,019"
                          State and Local, -   , -   , -   , -   , -   , -   ,1,2,2,5,7,8,10,10,17,38,56,70,85,106,129,192,228,288,366,421,477,567,623,813,997,"1,185","1,354","1,567","1,791","2,011","2,142","2,393","2,557","2,711","3,115","3,796","4,496","5,046","6,079","6,947","7,906","9,190","9,518","8,498","8,988","11,491","12,813","13,084"
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1,5,5,7,10,14,13,14,13,15,15,15,19,24,26,33
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,3,4,5,7,10,9,10,9,11,11,11,13,17,18,22
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1,1,2,3,4,4,4,4,5,5,4,5,7,8,10
         Department of Defense, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Department of Veterans Affairs,2,2,2,2,2,2,2,2,3,3,3,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,21,23,25,28,32,35,39,44,48,53,66,77,87,96,105,114,122,158,168,245,262,348,449,600,821,922,989,"1,079"
     Other Third Party Payers and Programs,46,50,53,57,62,74,79,93,137,153,116,92,101,128,180,214,279,352,503,574,739,801,844,970,"1,131","1,205","1,345","1,304","1,608","1,820","2,007","2,164","2,378","2,599","2,821","3,095","3,270","3,245","3,169","3,367","2,915","2,891","2,756","2,672","2,683","2,739","2,511","2,470","2,346","2,163","2,142","2,202","2,428","2,412"
         Worksite Health Care, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other Private Revenues,38,41,44,48,52,62,64,70,104,115,85,65,70,89,119,127,154,193,278,315,370,409,441,492,555,589,668,639,841,918,963,"1,003","1,088","1,207","1,261","1,440","1,527","1,488","1,553","1,732","1,372","1,173","1,053","1,100","1,082","1,196","1,121","1,045",988,909,913,910,991,935
         Indian Health Services , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Workers' Compensation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         General Assistance, -   , -   , -   , -   , -   , -   , -   , -   , -   ,1,1,1,1,1,3,3,3,3,3,4,3,4,5,7,8,8,9,19,16,16,20,35,42,45,63,72,80,74,68,55,24,32,32,53,67,91,118,157,143,184,198,206,245,256
